=== CROSS-GROUP CORRELATIONS : security1 ===
Generated              : 2026-04-20 17:27:27
Cross-group entries    : 12
Groups affected        : ?, Launch, Login, Logout, Roles, Section_roles, Section_roles_search, permission

==================================================================================================================================
  TABLE 1 — CROSS-GROUP VARIABLES  (tokens that cross group boundaries)
==================================================================================================================================

  #     |  Variable                      |  Captured Value                        |  Source Group        |  Sess   |  Method  |  Source URL                                            |  Resp Field                      |  Extractor Hint                                          
  -----+------------------------------+--------------------------------------+--------------------+-------+--------+------------------------------------------------------+--------------------------------+---------------------------------------------------------
  1     |  ${ASP_NET_SessionId}          |  uzb3ro3lr3f32dfxx5jxm5x0              |  Launch              |  2      |  GET     |  https://test.connexus.com/                            |  response.headers.Set-Cookie     |  Regex Extractor (response header Set-Cookie): ASP\.NET_S
  2     |  ${sendTo}                     |  /default.aspx                         |  Launch              |  3      |  GET     |  https://test.connexus.com/login?sendTo=%2fdefault.as  |  response.body                   |  Boundary/Regex Extractor (response header Location): sen
  3     |  ${token}                      |  371749547                             |  Launch              |  2      |  GET     |  https://test.connexus.com/                            |  response.headers.Location       |  Boundary/Regex Extractor (response header Location): tok
  4     |  ${a_href}                     |  /login?sendTo=%2fdefault.aspx&token=  |  Launch              |  2      |  GET     |  https://test.connexus.com/                            |  response.headers.Location       |  JSON Path Extractor (response body): $.html.body.h2.a[@h
  5     |  ${client_id}                  |  PVS-Client                            |  Login               |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location       |  Boundary/Regex Extractor (response header Location): cli
  6     |  ${redirect_uri}               |  https://test.connexus.com/ieslogin    |  Login               |  50     |  GET     |  https://iam-ppe.pearson.com/auth/oauth2/realms/pears  |  response.headers.Location       |  Boundary/Regex Extractor (response header Location): red
  7     |  ${state}                      |  6addfd08-6723-433c-ac82-a45872d63d42  |  Login               |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location       |  Boundary/Regex Extractor (response header Location): sta
  8     |  ${code_challenge}             |  LNcV8fj0umEKAFd0EiaatJD-A7GW5qxCOeHK  |  Login               |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location       |  Boundary/Regex Extractor (response header Location): cod
  9     |  ${idWebuserEncrypted}         |  F10AC1A145E18F3579D450FE9544FA31      |  Login               |  77     |  GET     |  https://test.connexus.com/ieslogin?code=puZ7nx0excoB  |  response.headers.Set-Cookie     |  Regex Extractor (response header Set-Cookie): idWebuserE
  10    |  ${ASP_NET_SessionId}          |  ayxanhn3nr0r4wp3wtlp0elq              |  Logout              |  359    |  GET     |  https://test.connexus.com/logout                      |  response.headers.Set-Cookie     |  Regex Extractor (response header Set-Cookie): ASP\.NET_S
  11    |  ${token}                      |  52573380                              |  Logout              |  361    |  GET     |  https://test.connexus.com/                            |  response.headers.Location       |  Boundary/Regex Extractor (response header Location): tok
  12    |  ${a_href}                     |  /login?sendTo=%2fdefault.aspx&token=  |  Logout              |  361    |  GET     |  https://test.connexus.com/                            |  response.headers.Location       |  JSON Path Extractor (response body): $.html.body.h2.a[@h


==================================================================================================================================
  TABLE 2 — CROSS-GROUP DESTINATION MAP  (where each variable is consumed)
==================================================================================================================================

  Variable                    |  Source Group        |  Dst Group           |  Dst Sess  |  Dst Method  |  Destination URL                                             |  Destination Field                     
  ---------------------------+--------------------+--------------------+----------+------------+------------------------------------------------------------+---------------------------------------
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  48        |  POST        |  https://test.connexus.com/login/IesLogin/DetermineLandingP  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  49        |  GET         |  https://test.connexus.com/login/IesLogin/IesAuthentication  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  77        |  GET         |  https://test.connexus.com/ieslogin?code=puZ7nx0excoBt3F9pQ  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  78        |  GET         |  https://test.connexus.com/default.aspx                      |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  79        |  GET         |  https://test.connexus.com/home/pages/employee.aspx          |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  81        |  GET         |  https://test.connexus.com/js/detectJavaScriptErrors.js      |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  82        |  GET         |  https://test.connexus.com/_control/validators/js/validatio  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  83        |  GET         |  https://test.connexus.com/_stylesheets/main.css?v=2016_i07  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  84        |  GET         |  https://test.connexus.com/_stylesheets/portallet.css?v=201  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  86        |  GET         |  https://test.connexus.com/_stylesheets/footerCA.css         |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  88        |  GET         |  https://test.connexus.com/_stylesheets/cxForms.css?v=2024_  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  89        |  GET         |  https://test.connexus.com/_stylesheets/cxOverlay.css?v=202  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  90        |  GET         |  https://test.connexus.com/_stylesheets/feedback.css?v=2014  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  91        |  GET         |  https://test.connexus.com/home/pages/_stylesheets/home.css  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  92        |  GET         |  https://test.connexus.com/_stylesheets/announcements.css?v  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  93        |  GET         |  https://test.connexus.com/_stylesheets/cxHeader.css?v=2014  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  94        |  GET         |  https://test.connexus.com/_stylesheets/header.css?v=2015_i  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  95        |  GET         |  https://test.connexus.com/_stylesheets/headerCa.css         |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  96        |  GET         |  https://test.connexus.com/_stylesheets/appDashboardPopover  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  97        |  GET         |  https://test.connexus.com/js/popItMenu.1.js                 |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  99        |  GET         |  https://test.connexus.com/js/connexusForms.js?v=i08         |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  100       |  GET         |  https://test.connexus.com/js/cxOverlay.js?v=2024_PI3_6      |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  101       |  GET         |  https://test.connexus.com/js/cxButton.js                    |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  102       |  GET         |  https://test.connexus.com/js/feedbackOverlay.js?v=2022_pi2  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  103       |  GET         |  https://test.connexus.com/js/html5SupportChecker.js?v=2020  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  104       |  GET         |  https://test.connexus.com/js/moment.min.js?v=2015_09        |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  105       |  GET         |  https://test.connexus.com/js/utils.js?v=2015_i09            |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  106       |  GET         |  https://test.connexus.com/_control/page/js/iconBar.js?v=20  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  107       |  GET         |  https://test.connexus.com/js/compliantFunctions.2.js        |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  108       |  GET         |  https://test.connexus.com/js/ajax.2.js                      |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  109       |  GET         |  https://test.connexus.com/js/FerantLib.2.js                 |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  110       |  GET         |  https://test.connexus.com/js/newrelicBrowserMonitoring.js?  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  111       |  GET         |  https://test.connexus.com/js/systemMessageClient.js?v=2025  |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  112       |  GET         |  https://test.connexus.com/js/header.js?v=2016_i06           |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  113       |  GET         |  https://test.connexus.com/js/portallet.js?v=i01             |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  114       |  GET         |  https://test.connexus.com/js/analyticsId.js                 |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  115       |  GET         |  https://test.connexus.com/js/appDashboardPopover.js         |  request.headers.Cookie                
  ${ASP_NET_SessionId}        |  Launch              |  Login               |  116       |  GET         |  https://test.connexus.com/js/webComponents/app-tile.js      |  request.headers.Cookie                
