=== COMBINED CORRELATIONS : security1 ===
Generated              : 2026-04-20 17:49:13
Groups with correlations: 4
Total dynamic variables : 14
Total destination links : 214

==================================================================================================================================
  TABLE 1 — DYNAMIC VARIABLES  (what to extract and from where)
==================================================================================================================================

  #     |  Group                 |  Variable                      |  Captured Value                        |  Sess   |  Method  |  Source URL                                            |  Response Field                    |  Extractor Hint                                            
  -----+----------------------+------------------------------+--------------------------------------+-------+--------+------------------------------------------------------+----------------------------------+-----------------------------------------------------------
  1     |  Launch                |  ${ASP_NET_SessionId}          |  uzb3ro3lr3f32dfxx5jxm5x0              |  2      |  GET     |  https://test.connexus.com/                            |  response.headers.Set-Cookie       |  Regex Extractor (response header Set-Cookie): ASP\.NET_Ses
  2     |  Launch                |  ${token}                      |  371749547                             |  2      |  GET     |  https://test.connexus.com/                            |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): token
  3     |  Login                 |  ${response_type}              |  code                                  |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): respo
  4     |  Login                 |  ${client_id}                  |  PVS-Client                            |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): clien
  5     |  Login                 |  ${redirect_uri}               |  https://test.connexus.com/ieslogin    |  50     |  GET     |  https://iam-ppe.pearson.com/auth/oauth2/realms/pears  |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): redir
  6     |  Login                 |  ${state}                      |  6addfd08-6723-433c-ac82-a45872d63d42  |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): state
  7     |  Login                 |  ${code_challenge}             |  LNcV8fj0umEKAFd0EiaatJD-A7GW5qxCOeHK  |  49     |  GET     |  https://test.connexus.com/login/IesLogin/IesAuthenti  |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): code_
  8     |  Login                 |  ${idWebuserEncrypted}         |  F10AC1A145E18F3579D450FE9544FA31      |  77     |  GET     |  https://test.connexus.com/ieslogin?code=puZ7nx0excoB  |  response.headers.Set-Cookie       |  Regex Extractor (response header Set-Cookie): idWebuserEnc
  9     |  Section_roles_search  |  ${EVENTTARGET}                |  permissions$searchButton              |  None   |          |                                                        |                                    |  Regex Extractor (response body HTML): name="__EVENTTARGET"
  10    |  Section_roles_search  |  ${VIEWSTATE}                  |  LW9Clr8z8CEFgmRV19etdbDQbWZMgotuWeNC  |  None   |          |                                                        |                                    |  Regex Extractor (response body HTML): name="__VIEWSTATE"[^
  11    |  Section_roles_search  |  ${VIEWSTATEGENERATOR}         |  92C27389                              |  None   |          |                                                        |                                    |  Regex Extractor (response body HTML): name="__VIEWSTATEGEN
  12    |  Logout                |  ${ASP_NET_SessionId}          |  ayxanhn3nr0r4wp3wtlp0elq              |  359    |  GET     |  https://test.connexus.com/logout                      |  response.headers.Set-Cookie       |  Regex Extractor (response header Set-Cookie): ASP\.NET_Ses
  13    |  Logout                |  ${id_token_hint}              |  eyJ0eXAiOiJKV1QiLCJraWQiOiJ3VTNpZklJ  |  359    |  GET     |  https://test.connexus.com/logout                      |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): id_to
  14    |  Logout                |  ${token}                      |  52573380                              |  361    |  GET     |  https://test.connexus.com/                            |  response.headers.Location         |  Boundary/Regex Extractor (response header Location): token


==================================================================================================================================
  TABLE 2 — CORRELATION MAP  (where each variable is consumed)
==================================================================================================================================

  Group                 |  Variable                      |  Src Sess  |  Dst Sess  |  Dst Method  |  Destination URL                                             |  Destination Field                       
  ---------------------+------------------------------+----------+----------+------------+------------------------------------------------------------+-----------------------------------------
  Launch                |  ${ASP_NET_SessionId}          |  2         |  3         |  GET         |  https://test.connexus.com/login?sendTo=%2fdefault.aspx&tok  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  5         |  GET         |  https://test.connexus.com/js/jquery.validate.min.js         |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  12        |  GET         |  https://test.connexus.com/_stylesheets/debugHide.css        |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  13        |  GET         |  https://test.connexus.com/content/_stylesheets/login.min.c  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  14        |  GET         |  https://test.connexus.com/_stylesheets/cxForms.css          |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  15        |  GET         |  https://test.connexus.com/_stylesheets/cxOverlay.css        |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  16        |  GET         |  https://test.connexus.com/_stylesheets/feedback.css         |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  17        |  GET         |  https://test.connexus.com/_control/page/iconBar/_styleshee  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  18        |  GET         |  https://test.connexus.com/js/jquery.validate.unobtrusive.j  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  19        |  GET         |  https://test.connexus.com/js/moment.min.js                  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  20        |  GET         |  https://test.connexus.com/js/utils.js                       |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  21        |  GET         |  https://test.connexus.com/js/connexusForms.js               |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  22        |  GET         |  https://test.connexus.com/js/cxoverlay.js                   |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  23        |  GET         |  https://test.connexus.com/js/cxHandlers.js                  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  24        |  GET         |  https://test.connexus.com/_control/page/js/iconBar.js       |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  25        |  GET         |  https://test.connexus.com/js/header.js                      |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  26        |  GET         |  https://test.connexus.com/js/feedbackOverlay.js             |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  27        |  GET         |  https://test.connexus.com/js/systemMessageClient.js         |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  28        |  GET         |  https://test.connexus.com/js/newRelicBrowserMonitoring.js   |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  29        |  GET         |  https://test.connexus.com/js/loginChatBotBalloon.js         |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  30        |  GET         |  https://test.connexus.com/_skin/supportFiles/1/572000-7620  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  31        |  GET         |  https://test.connexus.com/js/pearsonStatusMessageHandler.j  |  request.headers.Cookie                  
  Launch                |  ${ASP_NET_SessionId}          |  2         |  32        |  GET         |  https://test.connexus.com/images/iconSprites.png?v=i14_201  |  request.headers.Cookie                  
